question,options,correct_label
What type of device uses electromagnetic induction to change the voltage of electric current?,a) hot transformer b) radioactive transformer c) electronic transformer d) mechanical transformer,c
Mutations cannot be passed on to offspring if they occur in what type of cells?,a) body cells b) blood cells c) put cells d) kept cells,a
What layer high in the atmosphere protects living things from most of the sun’s harmful uv rays?,a) Mesosphere b) stratosphere c) troposphere d) ozone layer,d
What occurs over a large area when a rock is buried or compressed?,a) cavern system b) regional metamorphism c) landslide d) metamorphic diffusion,b
The uterus has an external opening known as what?,a) fallopian tubes b) cervix c) vulva d) ovaries,c
Plants face two types of enemies: herbivores and what else?,a) pathogens b) water c) erosion d) carnivores,a
What organism carries out only fermentation or anaerobic respiration?,a) aldehydes b) metabolites c) aerobicc enzymes d) obligate anaerobes,d
What are the smallest type of blood vessel?,a) capillaries b) spider veins c) arteries d) varicose veins,a
What type of behavior is most flexible?,a) adaptation b) reflex behavior c) learned behavior d) innate behavior,c
"In the water molecule, two of the electron pairs are lone pairs rather than what?",a) acid pairs b) bonding ions c) ions pairs d) bonding pairs,d
What are the  basic building blocks of the human body?,a) minerals b) proteins c) vitamins d) cells,d
What is the medial bone of the forearm that runs parallel to the radius?,a) ulna b) fibula c) radius d) humerus,a
"The animal kingdom can also be divided into two basic groups, what are they?",a) invertebrates and vertebrates b) sponges and vertebrates c) mammals and fish d) aquatic and land,a
These microorganisms are abundant in the human digestive track and serve many roles.  what are they?,a) tumors b) antioxidants c) bacteria d) pathogens,c
When both objects have a positive charge what will the force be between them?,a) polar b) expressive c) attractive d) repulsive,d
What are ocean waves mainly caused by?,a) gravity b) wind c) tides d) humidity,b
What type of archaea live in salty environments?,a) arthropods b) halophiles c) amphibians d) sporozoans,b
What can be thought of as the fundamental unit of life?,a) electron b) atom c) cell d) ion,c
What type of organism is a bacteria?,a) fungi b) paramecium c) single-celled prokaryotic d) multicellular organism,c
What chemical element is required for a combustion reaction ?,a) oxygen b) helium c) carbon d) nitrogen,a
What do wind turbines turn wind energy into?,a) oxygen b) hydrogen c) carbon d) electricy,d
A simple sugar such as fructose or glucose is also called a what?,a) monosaccharide b) disaccharide c) carbohydrate d) galactose,a
"The fossilized skeleton of archaeopteryx looks like that of a dinosaur, but it had what structures modified for flight, a trait associated only with birds among modern animals?",a) fingers b) feathers c) claws d) beaks,b
"Blood volume increases substantially during pregnancy, so that by childbirth, it exceeds its preconception volume by 30 percent, or approximately what?",a) 1-2 liters b) 3-5 liters c) 0-1 liters d) 2-3 liters,a
"All of the land drained by a river system is called its basin, or what ""wet"" term?",a) wetlands b) watershed c) river bank d) groundwater,b
What does the gizzard in birds contain that allows them to grind food?,a) teeth b) acid c) swallowed stones d) bile,c
Equal and oppositely directed forces produce what kind of acceleration?,a) no acceleration b) steady acceleration c) greater acceleration d) faster acceleration,a
Organs are groups of what working together?,a) tissues b) bones c) tendons d) muscles,a
Deep water filling a void caused by surface winds blowing water north and south is known as?,a) divergence b) upwelling c) downwelling d) surface current,b
What devices do astronomers use to see objects at wavelengths all across the electromagnetic spectrum?,a) spectrographs b) levels c) microscopes d) telescopes,d
What type of winds blow only over a limited area?,a) trade b) Planetary c) local d) periodic,c
What is the term for the spacing of individuals within a population?,a) dispersion b) equilibrium c) population density d) suspension,a
What is the minimum number of pulleys needed for a compound pulley?,a) 4 b) zero c) 1 d) 2,d
Magnetic force is always perpendicular to what?,a) speed b) sunlight c) velocity d) length,c
What is the region in the center back of the eye that is responsible for acute vision?,a) pupil b) lens c) cornea d) fovea,d
What is it called when a human has an extra autosome?,a) trisomy b) monosomy c) mosaicism d) polysomy,a
Carboxylic acids can form what with alcohols?,a) esters b) lipids c) aldehydes d) ketones,a
What are the two types of semiconductors?,a) n-type and m-type b) n-type and p-type c) o-type and p-type d) a-type and b-type,b
What is the term for organisms that live in extremely hot environments?,a) thermophiles b) thermophobes c) exothermic d) hydrophylic,a
What is a capillary bed that filters blood principally based on particle size?,a) vein b) plexus c) glomerulus d) buds,c
Minerals form when they precipitate from hot fluids that have done what?,a) cooled down b) dried out c) accelerated down d) heated up,a
Mass spectrometry today is used extensively in chemistry and biology laboratories to identify chemical and biological substances according to their ratios of what?,a) ph to charge b) mass to volume c) volume to charge d) mass-to-charge,d
What helps treat bacterial infections in people?,a) vaccines b) respiratory drugs c) antibiotic drugs d) rest,c
"Which has more electrons, neon or fluorine?",a) the same b) fluorine c) neither d) neon,d
"What kind of process occurs naturally under certain conditions, unlike its opposite, which will not take place unless it is “driven” by the continual input of energy from an external source?",a) controlled process b) noticeable process c) spontaneous process d) activation process,c
Gradual degradation of a material due to its exposure to the environment is known as what?,a) erosion b) metabolism c) destruction d) corrosion,d
What is the name for a matter that has a fixed volume and a fixed shape?,a) stable b) gas c) solid d) liquid,c
German doctor rudolf virchow first discovered what process when studying living cells under a microscope?,a) radiation b) evolution c) cell division d) photosynthesis,c
What was the first mass extinction that occurred on earth?,a) precambrian mass extinction b) proterozoic mass extinction c) paleozoic mass extinction d) late Devonian mass extinction,a
What type of habitat do ferns need to grow?,a) dry b) moist c) elevated d) cold,b
G2 and s are phases in what process that is important in cell division?,a) tissues b) osmosis c) mitosis d) cytokinesis,c
Solar energy travels in what?,a) neurons b) ions c) photons d) electrons,c
What type of joint is the knee joint?,a) ball joint b) hinge joint c) condyloid joint d) pivot joint,b
What state of matter takes the shape and volume of whatever container it occupies?,a) solid b) liquid c) gas d) mixture,c
What is a high concentrated solution typically referred to as?,a) stock solution b) share solution c) saline sollution d) percent solution,a
The joints that are between the bones that make up the skull are what kind of joints?,a) Ball and socket joints b) immovable joints c) Gliding ioints d) Interphalangeal joints,b
What weather phenomenon increases the rate of weathering in rock and soil?,a) earthquake b) temperature c) rainfall d) landslide,c
What is pluto now called?,a) asteroid b) meteor c) dwarf planet d) planet,c
"Tidal volume, expiratory reserve volume, inspiratory reserve volume, and residual volume are all types of what kind of measurement?",a) respiratory volume b) breathing volume c) emitted volume d) lung volume,d
What kind of a relationship do plants and soil have?,a) contentious relationship b) dimorphic relationship c) two-way relationship d) one-way relationship,c
What is the process of generating electric current with a magnetic field?,a) pole induction b) mechanical induction c) molecular induction d) electromagnetic induction,d
The adrenal cortex directly influences the function of what organs through the production of the hormone aldosterone to stimulate sodium reabsorption?,a) heart b) lungs c) tumors d) kidneys,d
What type of direction does a phase change depend on?,a) power transfer b) heat transfer c) weight transfer d) humidity transfer,b
The strength of what depends on the concentration of hydrogen ions it produces when dissolved in water?,a) the base b) electricity c) acid d) the solution,c
What are the largest phylum in the animal kingdom?,a) crustaceans b) mammals c) arthropods d) cephalopods,c
What kind of organisms are yeasts?,a) single-celled b) viruses c) bacteria d) protozoa,a
What kind of bond consists of one sigma bond and one pi bond?,a) double bond b) covalent bond c) beta bond d) ionic bond,a
What is the purpose of utilizing careful farming practices such as rotating crops or planting nutrient rich crops?,a) improve soil texture b) improve sediment quality c) improve photosynthesis quality d) improve soil quality,d
What do communication satellites carry and use to provide energy during their missions?,a) batteries b) geothermal panels c) infrared panels d) solar panels,d
What is the biogeochemical cycle that recycles water called?,a) water cycle b) Water Table c) water theory d) Liquid Cycle,a
What type of behavior is frogs croaking or deer clashing antlers an example of?,a) courtship b) learned behavior c) instincts d) mating,a
An atom can be classified as a particular element based solely on its what?,a) spectrum b) atomic number c) ability d) light number,b
"In the body, what essential substance is pumped from the heart into arteries and then eventually into capillaries?",a) blood b) water c) spinal fluid d) lymphatic Fluid,a
What (nh3) is one of the few thermodynamically stable binary compounds of nitrogen with a nonmetal?,a) liquid nitrogen b) acetic acid c) ammonia d) nitrous oxide,c
What does increased temperature cause the volume to do in a gas?,a) decrease b) halve c) disappear d) increase,d
Which effect causes winds to strike the polar front at an angle?,a) Lake Effect b) coriolis effect c) centrifugal effect d) axial tilt,b
Birds evolved from what type of ancestor?,a) insect b) fish c) reptile d) apes,c
Which blood cells serve to defend the body in various ways?,a) helper blood cells b) blue blood cells c) red blood cells d) white blood cells,d
Eutherian mammals possess a specialized structure called the corpus callosum that links what hemispheres?,a) spatial b) cortical c) appendages d) cerebral,d
Which part of the brain secretes hormones that tell the pituitary gland either to secrete or to stop secreting its hormones?,a) thalamus b) cerebrum c) hypothalamus d) hippocampus,c
"Most reptile eggs can be laid on land, not in water and they are called what?",a) Transitional b) umbilical c) aqueous d) amniotic,d
What do you call a small whole number placed in front of a formula in an equation in order to balance it?,a) function b) divisible c) correlation d) coefficient,d
"Because the earth is covered with vegetation, cellulose is the most abundant of all what?",a) vegetables b) rocks c) carbohydrates d) impurities,c
The energy of a photon is directly proportional to the frequency of the electromagnetic what?,a) radiation b) convection c) evaporation d) absorption,a
What term means the amount of space matter takes up?,a) weight b) density c) mass d) volume,d
All of the stages that a cell goes through make up what?,a) glycolysis b) cytokineses c) the cell cycle d) photosynthesis,c
What term is used to describe birds that mate for an entire season or even stay paired for their entire life?,a) polygamous b) monogamous c) asexual d) homogeneous,b
What branch of science offers an overview of the physiology of humans?,a) engineer b) geology c) human biology d) marine biology,c
"In atherosclerosis, thickening of an arterial wall due to this can restrict blood flow through the artery?",a) high blood pressure b) digestion c) plaque formation d) low blood pressure,c
"Moist skin distinguishes frogs from what animal with dry, bumpy skin?",a) toads b) turtles c) snakes d) newts,a
Scientists perform experiments to test their hypotheses because sometimes the nature of natural universe is what?,a) very obvious b) become obvious c) this obvious d) not obvious,d
What is the term for movement toward light?,a) autolysis b) gravitational pull c) phototropism d) phototaxis,d
Ultraviolet radiation has the highest energy; which has the lowest?,a) kinetic b) thermal c) infrared d) nuclear,c
What kind of proteins either activate or deactivate the transcription of other genes?,a) perfect regulatory proteins b) master regulatory proteins c) carbon proteins d) master complex proteins,b
What occurs when the pancreas doesn’t make enough insulin or else the body’s cells are resistant to the effects of insulin?,a) colitis b) anemia c) hepatitis d) diabetes,d
"According to the octet rule, magnesium is unstable because its valence shell has just two of what?",a) protons b) neutrons c) quarks d) electrons,d
What make distant objects appear both nearer and larger?,a) astrolabes b) mirrors c) telescopes d) lasers,c
"The atmosphere consists of oxygen, nitrogen, carbon dioxide, which exerts a certain pressure referred to as what?",a) gravity pressure b) nitrogen pressure c) atmospheric pressure d) tidal pressure,c
What is the oxygen-storing protein found in diving mammals' muscles called?,a) hemoglobin b) pheromone c) pigment d) myoglobin,d
The modern atomic theory states that all matter is composed of what?,a) molecules b) ions c) atoms d) quarks,c
Pressure has a significant effect on the solubility of what state of matter?,a) solids b) mixtures c) water d) gases,d
"The site of some nutrient absorption, the ileum is the third part of what digestive organ?",a) large intestine b) rectum c) stomach d) small intestine,d
"If both atoms are the same, they have the same electronegativity and share what type of bond?",a) nonpolar covalent b) ionic c) metabolic d) isotopic covalent,a
What forms when oceanic crust subducts into the mantle at convergent plate boundaries?,a) coral b) tsunamis c) glaciers d) volcanic mountain ranges,d
The skin plays an important role in preventing the escape of what commonly found liquid from the body?,a) urine b) water c) hormones d) stomach acid,b
Which area of the human heart pumps the blood to the right ventricle?,a) left atrium b) true atrium c) right atrium d) left ventricle,c
What moves sediments after they have formed?,a) perspiration b) migration c) erosion d) photosynthesis,c
What involves the emission of a particle and/or energy as one atom changes into another?,a) radioactive decay b) spontaneous mutation c) atomic transformation d) enthalpy,a
"Certain anaerobic parabasalid species exist in the digestive tracts of termites and wood-eating cockroaches, where they contribute an essential step in the digestion of this?",a) fiber b) carbonate c) nutrients d) cellulose,d
What do you call a group of cells of the same kind that performs the same function?,a) organ system b) tissue c) nucleus d) molecule,b
What is the name of a reactant in an enzymatic reaction?,a) membrane b) substrate c) tissues d) Scar,b
"The ideal gas law is used like any other gas law, with attention paid to the unit and making sure that temperature is expressed in kelvin. however, the ideal gas law does not require a change in the conditions of a gas sample. the ideal gas law implies that if you know any three of the physical properties of a gas, you can calculate this?",a) third b) fourth c) unrelated d) second,b
"What is a reaction in which an atom or molecule is added to an unsaturated molecule, making a single product?",a) complete reaction b) an addition reaction c) homeostasis d) single reaction,b
What is the main problem in both types of diabetes?,a) insulin production b) metabolism c) blood pressure d) blood concentration,a
The structure of mitochondrion plays an important role in what?,a) sexual reproduction b) aerobic respiration c) magnetism d) cell division,b
Topographic maps have a horizontal scale to indicate what distances?,a) horizontal b) vertical c) diagonal d) perpendicular,a
What can occur when one end of a small diameter tube is immersed in liquid?,a) transfusion action b) thermal action c) diffusion action d) capillary action,d
What kind of system do echinoderms possess?,a) primitive respiratory b) photosynthetic c) autonomic nerous system d) water-based circulatory,d
Fossils provide a window into the past. they are evidence for what?,a) generation b) evolution c) emergence d) intelligent design,b
"Dominant alleles rarely cause what type of disorders, since the mutant allele is likely to die out of the population?",a) mutations b) cancers c) genetic disorders d) sex-linked disorders,c
"Near-earth asteroids cross paths with earth, meaning they could collide; what are the paths called?",a) trajectory b) curves c) galaxies d) orbits,d
"Reflected in their relatively high level of intelligence and their ability to learn new behaviors, what organs tend to be relatively large in primates?",a) kidneys b) brains c) lungs d) hearts,b
This inverse relationship between solubility and temperature can be understood by looking at a what?,a) potassium model b) molecular model c) a slide d) nutrient model,b
Energy from sunlight enters many ecosystems through what process?,a) photosynthesis b) isolation c) multiplication d) reproduction,a
What is the world’s most serious resource problem?,a) gas shortage b) deforestation c) citrus blight d) water scarcity,d
"Quarks also have a different type of charge, called what?",a) spontaneous charge b) pure charge c) color charge d) contrast charge,c
Thylakoids in a chloroplast contain what plant pigment?,a) chlorophyll b) dye c) melanin d) ultramarine,a
The expulsion stage begins when the fetal head enters what?,a) birth canal b) uterus c) you can see the umbilical cord d) head is outside vagina,a
What type of waste is likely to explode?,a) explosive waste b) liquid waste c) mesh waste d) solid waste,a
"Named after the dutch physicist, the van de graaff is a type of what device used for nuclear research?",a) accelerator b) radiation detector c) barometer d) electromagnetic,a
A substance that displays different colors when in the presence of an acid or a base is called what?,a) reactor b) pH scale c) litmus test d) an acid-base indicator,d
What is the name for the study of the plants and animals that live in fresh water bodies ?,a) limnology b) nematology c) oceanography d) hydrology,a
What does urine leave the body through?,a) uterus b) urethra c) vagina d) colon,b
What type of plant is the dominant group of land plants?,a) thermal plants b) oxygen plants c) vascular plants d) grass plants,c
What term is used to describe a process in which material travels from regions of high concentration to low concentration until equilibrium is reached?,a) Osmosis b) fission c) diffusion d) active transport,c
"Poetically speaking, nature reserves are islands of what, in a sea of habitat degraded by human activity?",a) biodiversity b) habitats c) ecosystem d) refuge,a
Reactive elements are able to combine more what with other elements?,a) quickly b) slowly c) symmetrically d) easily,d
What do scientists attach to aquatic animals to collect information?,a) fluorescent tags b) ultraviolet tags c) satellite tags d) radio tags,c
"Upon ovulation, the oocyte released by the ovary is swept into where?",a) placental barrier b) uterine tube c) vas deferens d) umbilical cord,b
Giardiasis and malaria are diseases caused by what organism?,a) protozoa b) bacteria c) worms d) larvae,a
The number of waves that pass a fixed point in a given amount of time is referred to as what?,a) wave speed b) wave frequency c) wave harmonics d) tendency frequency,b
The name carbon tetrachloride implies one carbon atom and four of which other atoms?,a) iodine b) nitrogen c) calcium d) chlorine,d
Most of a mushroom's surface area is actually where?,a) hidden b) underground c) underwater d) air,b
Interneurons carry what back and forth between sensory and motor neurons?,a) flux impulses b) electricity c) sciatica d) nerve impulses,d
What are the mineral deposits that fill in underground cracks called?,a) currents b) motherlode c) veins d) cores,c
Some of the small moons of saturn are found within what features distinctive to the planet?,a) interior of saturn b) crest of saturn c) craters of saturn d) rings of saturn,d
An image that is double the size of the object would have what?,a) magnification b) configuration c) illumination d) stimulation,a
What is made up of bands of cells that contract for movement?,a) cartilage b) collagen c) muscle tissue d) vascular tissue,c
What is the name of the muscular tube that carries urine out of the body?,a) bladder b) rectum c) uterus d) urethra,d
Tissues are organized by what?,a) branches b) structures c) lipids d) cells,d
Carbon released by burning fossil fuels contributes to what effect in the atmosphere?,a) smog effect b) greenhouse effect c) cloud effect d) shielding effect,b
What are a class of biochemical compounds that living things use to store energy?,a) proteins b) lipids c) calories d) hydrocarbons,b
Which element has an atomic number of 16?,a) acid b) oxygen c) sulfur d) methane,c
Fossil evidence indicates that the ancestors of humans originated on which continent?,a) africa b) north america c) australia d) south america,a
What will spores that eventually germinate develop into?,a) yeast cells b) gametes c) new hyphae d) hydra,c
A binary molecular compound is made up of two of what?,a) wafers b) compounds c) elements d) cells,c
"Sound, like all waves, travels at a certain speed and has the properties of frequency and this?",a) wavelength b) momentum c) gravity d) energy,a
Do bacteria sexually reproduce?,a) yes b) no c) sometimes d) they don't reproduce,b
What is type of sugar is produced through photosynthesis?,a) glucose b) insulin c) glutamate d) carbohydrates,a
The light-sensing cells in the retina are called rods and what else?,a) cones b) light cells c) sensor cells d) stents,a
"Lampreys possess a large round sucker, lined with teeth, that surrounds the mouth and is used to feed on what?",a) blood b) marrow c) herbivores d) parasites,a
What is the type of plant that has a single cotelydon in the seedling?,a) moss b) monocot c) dicot d) conifer,b
What element is essential for amino acid and nucleic acid production?,a) carbon b) hydrogen c) nitrogen d) oxygen,c
In plants and algae where does photosynthesis takes place in?,a) chloroplasts b) nucleus c) cytoplasm d) cell wall,a
What is crucial for the fermentation progress in making bread?,a) cold b) fruit c) yeast d) larvae,c
What hormone does the endocrine system secrete to help cells absorb blood sugar?,a) testosterone b) Cortisol c) glucose d) insulin,d
What part of the sporophyte produces microspores that form male gametophytes and megaspores that form female gametophytes?,a) leaves b) chloroplasts c) pollen d) flower,d
"This calcification prevents diffusion of nutrients into the matrix, resulting in what dying and the opening up of cavities in the diaphysis cartilage?",a) chondrocytes b) phytocytes c) nanoparticles d) keratinocytes,a
"What is the greek word meaning ""to help make things easier""?",a) toy b) mode c) battery d) machine,d
High levels of radiation can remove electrons from?,a) metals b) water c) humans d) acids,a
What is the only planet we know that has plate techtonics?,a) Jupiter b) Saturn c) Mars d) earth,d
Variation in muscle cells gives further insight into some benefits of what type of respiration?,a) natural b) anaerobic c) aerobic d) enzymatic,b
Violet and red are two types of what kind of light?,a) infrared b) visible c) ultraviolet d) radioactive,b
The duodenum is a part of which part of the gi tract?,a) ulna b) large intense c) small intestine d) pharynx,c
A complete ionic equation is a chemical equation in which the dissolved ionic compounds are written as what?,a) realized ions b) charged ions c) separated ions d) joined ions,c
"The barrier defenses are not a response to infections, but they are continuously working to protect against a broad range of what?",a) mates b) pathogens c) nutrients d) ecosystems,b
"A minority of people on earth use up most of the planet's what, including energy?",a) sand b) water c) air d) resources,d
Groundwater dissolves minerals and carries the ions in a what?,a) jet stream b) transition c) mixture d) solution,d
What is the area of our universe that isn't stars and galaxies called?,a) solar systems b) nebula c) dark matter d) galaxies,c
What neurotransmitter is associated with the fight-or-flight response?,a) bile b) adrenaline c) endorphins d) stomach acid,b
What do scientists think are the oldest eukaryotes?,a) prokaryotes b) arthropods c) protists d) fungi,c
Geologists found that the youngest rocks on the seafloor were where?,a) late - ocean ridges b) mid - ocean ridges c) early - ocean ridges d) seabed floor,b
"The stability of an ecosystem depends on the actions of what, exemplified by mushrooms on a decaying log and bacteria in soil?",a) aphids b) fluxes c) whitefly d) decomposers,d
"Anabolic steroids, a form of the male sex hormone testosterone, are one of the most widely known performance-enhancing drugs. steroids are used to help build what?",a) brain tissue b) bone mass c) muscle mass d) nervous tissue,c
What is the only planet that is known to support life?,a) Mars b) Venus c) earth d) Saturn,c
Where is food stored?,a) the stomach b) The liver c) The gall bladder d) The esophagus,a
"The vertebrae are divided into the cervical region, the thoracic region, and which other region?",a) lumbar region b) pelvic region c) cylindrical region d) central region,a
What was used to measure the distance between the earth and the moon?,a) telescope b) laser beam c) yardstick d) ultrasound,b
"Upon entering the vestibular canal, the pressure waves push down on what duct?",a) the regrowth b) the bile c) the implant d) the cochlear,d
Water is formed from oxygen and what other element?,a) helium b) hydrogen c) calcium d) lead,b
What is the period from earth's origin to the beginning of the phanerozoic eon?,a) precambrian b) anatolian c) Paleolithic d) Cenozoic,a
"In a displacement graph, the slope of the line is the average what?",a) direction b) speed c) velocity d) time,c
What is the process by which producers use the energy in sunlight to make food?,a) Leukemogenesis b) photosynthesis c) glycolysis d) Embryogenesis,b
"What is the term for something that limits the growth or development of an organism, population, or process?",a) variable b) limiting factor c) controlling factor d) stumbling block,b
Where is glucose carried in the human body?,a) the brain b) the heart c) the blood d) the liver,c
What are large glaciers that cover a larger area than just a valley?,a) ice caps b) ice floes c) icebergs d) glacial continents,a
What type of reproduction do fungi engage in?,a) asexual b) ephemeral c) sexual d) microscopic,a
What system transports minerals and water in a plant?,a) flowers b) stamen c) roots d) leaves,c
What is the exchange of energy from one part of the universe to another called?,a) heat b) temperature c) humidity d) cold,a
"If environmental conditions deteriorate, many species can form protective what?",a) proteins b) cysts c) shells d) fibers,b
In what subgroup are oligochaetes classified?,a) insects b) reptiles c) polychaetes d) mammals,c
"The crocodilia order, which includes crocodiles, alligators, caimans, and gharils, is part of what class of animals?",a) reptiles b) mammals c) aquatic d) parasites,a
What fluid is most prevalent in your body?,a) cold b) water c) Coolant d) liquid,b
What are negative electrons attracted to?,a) hormones b) positive protons c) neutral electrons d) ions,b
"The largest phylum in the animal kingdom, arthropod, is primarily comprised of what?",a) insects b) reptiles c) mammals d) amphibians,a
Which country is formed by a hotspot along the mid-atlantic ridge?,a) Switzerland b) finland c) norway d) iceland,d
What is an atom or group of bonded atoms that has a positive or negative charge?,a) an photon b) an electron c) an ion d) a neutron,c
What type of reproduction produces offspring from a single parent that share the exact same genetic material as the parent?,a) sexual reproduction b) microscopic reproduction c) asexual reproduction d) mutation,c
Invertebrates make up what percentage of all animal species?,a) 50 percent b) 30 percent c) 90 percent d) 95 percent,d
What do monotremes lack though they have hair and produce milk?,a) nerves b) skin c) tail d) nipples,d
What is muscle tissue that is attached to the bone called?,a) ligament b) epithelial tissue c) skeletal tisse d) cartilage,c
What results from the evaporation of sea water?,a) reef b) carbon-di-oxide c) oxygen d) salt,d
"The human body regulates the use and storage of what simple sugar, a major cellular fuel?",a) insulin b) glucose c) secretion d) carbohydrate,b
What planet did the voyager 1 spacecraft visit in 1980?,a) saturn b) venus c) jupiter d) mars,a
What is the shortest phase of the sexual response cycle?,a) resolution phase b) plateau phase c) the orgasm d) sexual stimulation,c
What is the name of the process by which plants use energy from sunlight to synthesize carbohydrates?,a) cellular respiration b) osmosis c) photosynthesis d) pollination,c
Animals need plants for food and?,a) shelter b) reproduction c) energy d) fuel,c
The product of a wave's wavelength and its frequency is what?,a) amplitude b) speed c) velocity d) trough,b
How did lamarck believe species change over time?,a) ecological of acquired characteristics b) became larger c) lose of acquired traits d) inheritance of acquired characteristics,d
Which is larger: the human sperm or the human egg?,a) same size b) zygote c) human egg d) human sperm,c
What kind of reaction is a reaction in which two or more substances combine to form a single new substance?,a) compounding reaction b) combination reaction c) power reaction d) chemical reaction,b
What is beyond the atmosphere?,a) air b) vacuum c) object d) space,d
What structure does methane have?,a) three dimensional tetrahedra b) two dimensional tetrahedra c) two dimensional oxyhedra d) three dimensional oxyhedra,a
What is the blastocyst called after implantation?,a) an produce b) an embryo c) trophoblast d) an nucleus,b
What rate is generally higher for endotherms than for ectotherms?,a) metabolic b) reproduction c) respiration d) mortality,a
"What phylum includes snails, squids and clams?",a) cnidaria b) porifera c) mollusca d) protozoa,c
What is the change in a species over time?,a) transformation b) phenomenon c) variation d) evolution,d
What are the largest known proteins?,a) hormones b) titins c) keratins d) actins,b
What term is used to describe the organism that is invaded and often harmed by a pathogen?,a) initial b) guardian c) parent d) host,d
Untreated botulism is typically fatal because muscles required for breathing fail to contract when the release of what chemical is blocked?,a) monoxide b) acetylcholine c) carbon dioxide d) hydrogen,b
The combined magnetic force of the magnetized wire coil and iron bar makes an electromagnet what?,a) very heavy b) Very light c) very strong d) very reduced,c
Where do two or more bones of the skeleton meet?,a) muscle paths b) joints c) junctures d) valves,b
"Lacking a bony endoskeleton, sharks, rays, and ratfish belong to what group of fish?",a) freshwater fish b) invertebrates c) cartilaginous d) crustaceans,c
What process involves the flow of heat from warmer objects to cooler objects?,a) conduction b) radiation c) activation d) convection,a
"What broad category of animals shows adaptations from water-dwelling to land-dweller, including the ability to breathe air and legs to move on land?",a) herbivores b) reptiles c) amphibians d) birds,c
What term is used to describe the tendency of a mineral to break along certain planes?,a) erosion b) cleavage c) porosis d) tooth decay,b
What controls earth's magnetosphere?,a) ionosphere b) stratosphere c) magnetic field d) gravitational field,c
"In humans, pharyngeal slits later develop into what?",a) inner ear b) outer ear c) middle ear d) long ear,c
What phenomenon involves the forcing of a substance into a cell against its concentration gradient?,a) primary active transport b) osmosis c) active absorption d) secondary transport,a
What are used as model organisms in molecular biology and genetics?,a) weather slime molds b) cellular slime molds c) convergent slime molds d) electromagnetic slime molds,b
The bones of the newborn skull are not fully ossified and are separated by large areas called what?,a) pores b) sutures c) fissures d) fontanelles,d
"With logistic growth, how does population growth start out?",a) slowly b) rapidly c) exponentially d) steadily,a
What determines the color of visible light?,a) molecular wavelength b) wavelength density c) wavelength speed d) exact wavelength,d
What do eukaryotic cells have that compartmentalize their functions?,a) vacuoles b) internal membranes c) cytoplasm d) cell walls,b
Earth rotates on its axis once each day and revolves around the sun how often?,a) ever 3 years b) once each year c) once each month d) every other year,b
What are the two types of fatty acids?,a) saturated and endogenous b) hydrochloric and carboxylic c) saturated and unsaturated d) saturated and biodegradable,c
Lipids are available to the body from how many sources?,a) two b) three c) five d) one,b
What is a silver-colored alkaline earth metal that is even softer than calcium?,a) strontium b) lithium c) magnesium d) mercury,a
Statoliths are starch-filled plastids that enable plant roots to detect what force?,a) impact b) current c) gravity d) variation,c
How does lysozyme destroy bacteria?,a) by eating them b) by paralyzing them c) by digesting their cell walls d) by antibiotic use,c
The primary role of leaves is to collect what?,a) sunlight b) pollen c) precipitation d) insects,a
Temperature can be defined as the average of what type of energy of the molecules?,a) kinetic b) optical c) magnetic d) potential,a
What lens shape corrects myopia?,a) convex b) concave c) flat d) curve,b
What serves to replace nonreproducing specialized cells as needed in the adult body?,a) monocyte cells b) osteoclast cells c) stem cells d) dendritic cells,c
"In physics, resistance is opposition to the flow of what?",a) surface flow b) capacitance c) temperature charges d) electrical charges,d
What organs are the main organs of the urinary system?,a) prostate b) kidneys c) spleen d) gall bladder,b
What phase follows ovulation?,a) telophase b) varicose phase c) interstitial phase d) luteal phase,d
What is used to measure blood pressure?,a) spectrometer b) sphygmomanometer c) barometer d) anemometer,b
"Are the lungs organs of the excretory system, the respiratory system, or both?",a) excretory b) both c) neither d) respiratory,b
Light has the properties of both a wave and what else?,a) nucleus b) atom c) electron d) particle,d
Hagfishes have a skull made of what?,a) gelatin b) cartilage c) bone d) chitin,b
Water molds are commonly found in moist soil and where else?,a) methane water b) standing water c) crust water d) surface water,d
What is considered to be a person's entire genetic information?,a) biosphere b) genome c) organism d) chromosome,b
Where does cellular respiration occur?,a) chloroplasts b) Golgi apparatus c) nucleus d) mitochondria,d
What are jellyfish and other cnidarian's stingers called?,a) nematocysts b) necrocytes c) prokaryotes d) phenocrysts,a
What is tube-shaped and brings urine from the kidneys to the urinary bladder?,a) fallopian tube b) gametophytes c) vas deferens d) ureters,d
"When solvent molecules selectively pass through a membrane from a dilute solution to concentrated solution, what process is occurring?",a) active transport b) diffusion c) osmosis d) plasmolysis,c
Water seeping into the ground is known as?,a) invasion b) precipitation c) infiltration d) accumulation,c
What body system gets rid of waste?,a) nervous system b) Muscular system c) digestive system d) excretory system,d
Through what form of energy transfer does the sun's energy travel?,a) Fusion b) convection c) solar burst d) radiation,d
What are the only regions of space that electrons can occupy?,a) orbits b) inside nuclei c) galaxies d) inside protons,a
What appears in autumn when cool air moves over a warm lake?,a) movement fog b) feature fog c) steam fog d) misty fog,c
All cells need what for processes like active transport?,a) sunlight b) hydrogen c) energy d) oxygen,c
"In certain populations, some of the chromosomes have become what?",a) elongated b) dissolved c) composed d) fused,d
What occurs as a result of the discharge of static electricity?,a) clouds b) drought c) lightning d) thunder,c
